sample_name,tilt_deg,theta_initial_deg_used_for_q,qz_map_source,qr_integration_source,solid_angle_corrected,m,qr,qr_original,qr_fit_count,qr_fit_sample_count,qr_fit_method,branch,phi_window,delta_qr,qz_bin,qz_min,qz_max,qz_center,pixel_count,acceptance_sum,acceptance_source,background_sum_raw,background_sum,fit_sum,background_mean_raw,background_mean,fit_mean,background_weighted_sum_raw,background_weighted_sum,fit_weighted_sum,background_density_raw,qr_sideband_background_density,qr_sideband_pixel_count,qr_sideband_inner_delta_qr,qr_sideband_outer_delta_qr,qr_sideband_percentile,qr_transverse_background_subtracted,background_density,fit_density,two_theta_min,two_theta_max,two_theta_mean,smoothed_background_density
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,1,0.7713458887701282,0.7923603826605471,0.7818531357153377,269,269.0,pixel_count,33623.45842532138,33623.45842532138,28090.31287765503,124.99426923911295,124.99426923911295,104.42495493552056,33623.45842532138,33623.45842532138,28090.31287765503,124.99426923911295,,0,,,,False,124.99426923911295,104.42495493552056,23.64946174621582,27.14099884033203,25.40100455315509,133.46339421128386
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,2,0.7923603826605471,0.8133748765509662,0.8028676296057566,268,268.0,pixel_count,39549.134211313525,39549.134211313525,31629.72243499756,147.57139631087136,147.57139631087136,118.02135236939388,39549.134211313525,39549.134211313525,31629.72243499756,147.57139631087136,,0,,,,False,147.57139631087136,118.02135236939388,23.85700798034668,27.242889404296875,25.583989578046435,150.40095511392605
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,3,0.8133748765509662,0.8343893704413853,0.8238821234961757,275,275.0,pixel_count,47885.30330606369,47885.30330606369,35777.90121459961,174.1283756584134,174.1283756584134,130.1014589621804,47885.30330606369,47885.30330606369,35777.90121459961,174.1283756584134,,0,,,,False,174.1283756584134,130.1014589621804,23.980127334594727,27.427061080932617,25.706885832829624,172.9275991729308
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,4,0.8343893704413853,0.8554038643318043,0.8448966173865948,270,270.0,pixel_count,54694.09798892615,54694.09798892615,39069.35032272339,202.5707332923191,202.5707332923191,144.7012974915681,54694.09798892615,54694.09798892615,39069.35032272339,202.5707332923191,,0,,,,False,202.5707332923191,144.7012974915681,24.136964797973633,27.532732009887695,25.864434771568547,189.6272666360718
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,5,0.8554038643318043,0.8764183582222234,0.8659111112770138,277,277.0,pixel_count,54267.57763425616,54267.57763425616,41759.97546005249,195.91183261464317,195.91183261464317,150.75803415181403,54267.57763425616,54267.57763425616,41759.97546005249,195.91183261464317,,0,,,,False,195.91183261464317,150.75803415181403,24.31945037841797,27.72069549560547,26.043109468854514,192.0071523155166
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,6,0.8764183582222234,0.8974328521126425,0.8869256051674329,279,279.0,pixel_count,51342.993690003816,51342.993690003816,40295.96537590027,184.02506698926098,184.02506698926098,144.42998342616585,51342.993690003816,51342.993690003816,40295.96537590027,184.02506698926098,,0,,,,False,184.02506698926098,144.42998342616585,24.481361389160156,27.857511520385742,26.18448006545603,184.7267874840012
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,7,0.8974328521126425,0.9184473460030615,0.907940099057852,273,273.0,pixel_count,47901.46774134418,47901.46774134418,37015.78307914734,175.46325179979553,175.46325179979553,135.58894900786572,47901.46774134418,47901.46774134418,37015.78307914734,175.46325179979553,,0,,,,False,175.46325179979553,135.58894900786572,24.666776657104492,28.049419403076172,26.366847250537656,175.77715809702102
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,8,0.9184473460030615,0.9394618398934804,0.928954592948271,282,282.0,pixel_count,46884.39394452003,46884.39394452003,34834.931131362915,166.25671611531925,166.25671611531925,123.52812457930112,46884.39394452003,46884.39394452003,34834.931131362915,166.25671611531925,,0,,,,False,166.25671611531925,123.52812457930112,24.83340835571289,28.16242790222168,26.506283330437714,168.17830872380677
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,9,0.9394618398934804,0.9604763337838995,0.94996908683869,281,281.0,pixel_count,45866.247111595294,45866.247111595294,32009.737142562866,163.2250786889512,163.2250786889512,113.91365531161162,45866.247111595294,45866.247111595294,32009.737142562866,163.2250786889512,,0,,,,False,163.2250786889512,113.91365531161162,25.002822875976562,28.357563018798828,26.702193287623285,162.06061420900284
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,1,1.5806530407269872,1.5806530407269872,0,2,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,0.13,10,0.9604763337838995,0.9814908276743186,0.9709835807291091,282,282.0,pixel_count,43743.27455129325,43743.27455129325,29825.264421463013,155.11799486274202,155.11799486274202,105.76334901228019,43743.27455129325,43743.27455129325,29825.264421463013,155.11799486274202,,0,,,,False,155.11799486274202,105.76334901228019,25.192485809326172,28.50298500061035,26.869209264700665,156.47185306777686
